spawn telnet localhost 3464
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1,time:654864310,copy_size:2656050 
checkpoint:54,time:693304078,copy_size:2805728 
checkpoint:55,time:682524538,copy_size:2757406 
checkpoint:56,time:680923829,copy_size:2761962 
checkpoint:57,time:679594012,copy_size:2754686 
checkpoint:58,time:707428451,copy_size:2868870 
checkpoint:59,time:712580964,copy_size:2884418 
checkpoint:60,time:734191445,copy_size:2979978 
checkpoint:61,time:719259219,copy_size:2926676 
checkpoint:62,time:698288958,copy_size:2832730 
checkpoint:63,time:697471471,copy_size:2827856 
checkpoint:64,time:661754108,copy_size:2682558 
checkpoint:65,time:691962150,copy_size:2799926 
checkpoint:66,time:708560021,copy_size:2875412 
checkpoint:67,time:679927676,copy_size:2747734 
checkpoint:68,time:688720514,copy_size:2791562 
checkpoint:69,time:681467531,copy_size:2758390 
checkpoint:70,time:665991405,copy_size:2698102 
checkpoint:71,time:708406442,copy_size:2876930 
checkpoint:72,time:665268126,copy_size:2690776 
checkpoint:73,time:679943529,copy_size:2769020 
checkpoint:74,time:692622150,copy_size:2807930 
checkpoint:75,time:714966826,copy_size:2897086 
checkpoint:76,time:677081748,copy_size:2747392 
checkpoint:77,time:699239559,copy_size:2828066 
checkpoint:78,time:705607106,copy_size:2860150 
checkpoint:79,time:696713916,copy_size:2818768 
checkpoint:80,time:683591427,copy_size:2763174 
checkpoint:81,time:681758298,copy_size:2754578 
checkpoint:82,time:709250250,copy_size:2882980 
checkpoint:83,time:595430466,copy_size:2416846 
checkpoint:84,time:682384826,copy_size:2749306 
checkpoint:85,time:654060504,copy_size:2642388 
checkpoint:86,time:683943874,copy_size:2779894 
checkpoint:87,time:673875955,copy_size:2734136 
checkpoint:88,time:721913108,copy_size:2928484 
checkpoint:89,time:703583922,copy_size:2843508 
checkpoint:90,time:689061838,copy_size:2790422 
checkpoint:91,time:702023247,copy_size:2848282 
checkpoint:92,time:661079451,copy_size:2676704 
checkpoint:93,time:776233112,copy_size:3136618 
checkpoint:94,time:707336919,copy_size:2872810 
checkpoint:95,time:696475811,copy_size:2808602 
checkpoint:96,time:713072147,copy_size:2883454 
checkpoint:97,time:682836348,copy_size:2768446 
checkpoint:98,time:785834565,copy_size:3179218 
checkpoint:99,time:685991778,copy_size:2790974 
checkpoint:100,time:704600130,copy_size:2858986 
checkpoint:101,time:691386273,copy_size:2797392 
checkpoint:102,time:711336853,copy_size:2894978 
checkpoint:103,time:694920513,copy_size:2823666 
checkpoint:104,time:699516844,copy_size:2841380 
checkpoint:105,time:677167288,copy_size:2747798 
checkpoint:106,time:696954472,copy_size:2826272 
checkpoint:107,time:680131157,copy_size:2746354 
checkpoint:108,time:677110379,copy_size:2754452 
checkpoint:109,time:700239280,copy_size:2841042 
checkpoint:110,time:710337322,copy_size:2874826 
checkpoint:111,time:692124354,copy_size:2799862 
checkpoint:112,time:667684051,copy_size:2703704 
checkpoint:113,time:695750472,copy_size:2815410 
checkpoint:114,time:678264406,copy_size:2754840 
checkpoint:115,time:687475066,copy_size:2784140 
checkpoint:116,time:693696388,copy_size:2813730 
checkpoint:117,time:683504706,copy_size:2772308 
checkpoint:118,time:708171613,copy_size:2881256 
checkpoint:119,time:708303871,copy_size:2871154 
checkpoint:120,time:691597015,copy_size:2795656 
checkpoint:121,time:695968919,copy_size:2829848 
checkpoint:122,time:675241244,copy_size:2741036 
checkpoint:123,time:693481346,copy_size:2807434 
checkpoint:124,time:702171078,copy_size:2842626 
checkpoint:125,time:678832391,copy_size:2746872 
checkpoint:126,time:681696757,copy_size:2758944 
checkpoint:127,time:684242640,copy_size:2771120 
checkpoint:128,time:690351592,copy_size:2808020 
checkpoint:129,time:667156688,copy_size:2700438 
checkpoint:130,time:697448543,copy_size:2830624 
checkpoint:131,time:705138009,copy_size:2855698 
checkpoint:132,time:701141905,copy_size:2845522 
checkpoint:133,time:704433762,copy_size:2860402 
checkpoint:134,time:689649615,copy_size:2790832 
checkpoint:135,time:676418253,copy_size:2742030 
checkpoint:136,time:688334042,copy_size:2787636 
checkpoint:137,time:674255625,copy_size:2715830 
checkpoint:138,time:677427267,copy_size:2742864 
checkpoint:139,time:682377406,copy_size:2774514 
checkpoint:140,time:710922883,copy_size:2882674 
checkpoint:141,time:686809901,copy_size:2770486 
checkpoint:142,time:679733685,copy_size:2745912 
checkpoint:143,time:686319634,copy_size:2787914 
checkpoint:144,time:729615941,copy_size:2951240 
checkpoint:145,time:693346643,copy_size:2817078 
checkpoint:146,time:667128070,copy_size:2704940 
checkpoint:147,time:683188114,copy_size:2766784 
checkpoint:148,time:675236429,copy_size:2731466 
checkpoint:149,time:686285217,copy_size:2782154 
checkpoint:150,time:671941703,copy_size:2716648 
checkpoint:151,time:687142754,copy_size:2788340 
checkpoint:152,time:680636778,copy_size:2748150 
checkpoint:153,time:699864124,copy_size:2829576 
checkpoint:154,time:682267691,copy_size:2765892 
checkpoint:155,time:693445213,copy_size:2806182 
checkpoint:156,time:684218231,copy_size:2777206 
checkpoint:157,time:701683778,copy_size:2843282 
checkpoint:158,time:717513553,copy_size:2914734 
checkpoint:159,time:698539901,copy_size:2828388 
checkpoint:160,time:686576789,copy_size:2789334 
checkpoint:161,time:687956087,copy_size:2804242 
checkpoint:162,time:681440925,copy_size:2763202 
checkpoint:163,time:684426474,copy_size:2775186 
checkpoint:164,time:694090553,copy_size:2805202 
checkpoint:165,time:714072697,copy_size:2900668 
checkpoint:166,time:689742399,copy_size:2798220 
checkpoint:167,time:690908306,copy_size:2797638 
checkpoint:168,time:712860133,copy_size:2885394 
checkpoint:169,time:672749081,copy_size:2729612 
checkpoint:170,time:719328045,copy_size:2906786 
checkpoint:171,time:665631379,copy_size:2699458 
checkpoint:172,time:697022070,copy_size:2829910 
checkpoint:173,time:686365004,copy_size:2781864 
checkpoint:174,time:697263601,copy_size:2816794 
checkpoint:175,time:686278736,copy_size:2787930 
checkpoint:176,time:713602138,copy_size:2906838 
checkpoint:177,time:688468106,copy_size:2783936 
checkpoint:178,time:690688178,copy_size:2809362 
checkpoint:179,time:671512204,copy_size:2717394 
checkpoint:180,time:682354712,copy_size:2764978 
checkpoint:181,time:674769447,copy_size:2733884 
checkpoint:182,time:669516652,copy_size:2705740 
checkpoint:183,time:671337622,copy_size:2718892 
checkpoint:184,time:743687496,copy_size:3014712 
checkpoint:185,time:700617484,copy_size:2843132 
checkpoint:186,time:689316219,copy_size:2794662 
checkpoint:187,time:727038733,copy_size:2953822 
checkpoint:188,time:687194562,copy_size:2788522 
checkpoint:189,time:677737091,copy_size:2741472 
checkpoint:190,time:694739258,copy_size:2819014 
checkpoint:191,time:691150102,copy_size:2808948 
checkpoint:192,time:681863529,copy_size:2758576 
checkpoint:193,time:669143823,copy_size:2703332 
checkpoint:194,time:692660430,copy_size:2803004 
checkpoint:195,time:673599989,copy_size:2725884 
checkpoint:196,time:697258738,copy_size:2821916 
checkpoint:197,time:721582862,copy_size:2930564 
checkpoint:198,time:703312360,copy_size:2847474 
checkpoint:199,time:678520154,copy_size:2734894 
checkpoint:200,time:672193262,copy_size:2722658 
checkpoint:201,time:696929229,copy_size:2824614 
checkpoint:202,time:703663613,copy_size:2860578 
checkpoint:203,time:685819064,copy_size:2782064 
checkpoint:204,time:693143475,copy_size:2798090 
checkpoint:205,time:682864649,copy_size:2775542 
checkpoint:206,time:694236378,copy_size:2809278 
checkpoint:207,time:687228265,copy_size:2783620 
checkpoint:208,time:692463358,copy_size:2803248 
checkpoint:209,time:710213420,copy_size:2869552 
checkpoint:210,time:674668048,copy_size:2733752 
checkpoint:211,time:675053793,copy_size:2729992 
checkpoint:212,time:679374087,copy_size:2750230 
checkpoint:213,time:692212157,copy_size:2800148 
checkpoint:214,time:686506805,copy_size:2791920 
checkpoint:215,time:701937255,copy_size:2850734 
checkpoint:216,time:682262163,copy_size:2755636 
checkpoint:217,time:717609997,copy_size:2915110 
checkpoint:218,time:693888060,copy_size:2828980 
checkpoint:219,time:695454174,copy_size:2829666 
checkpoint:220,time:680269189,copy_size:2749090 
checkpoint:221,time:687897321,copy_size:2783008 
checkpoint:222,time:733783982,copy_size:2976724 
checkpoint:223,time:696580270,copy_size:2826080 
checkpoint:224,time:685837318,copy_size:2783972 
checkpoint:225,time:697255222,copy_size:2821912 
checkpoint:226,time:685576733,copy_size:2772626 
checkpoint:227,time:686376546,copy_size:2776906 
checkpoint:228,time:671679006,copy_size:2724202 
checkpoint:229,time:683097255,copy_size:2771456 
checkpoint:230,time:692844847,copy_size:2807544 
checkpoint:231,time:681404144,copy_size:2756014 
checkpoint:232,time:685926057,copy_size:2791314 
checkpoint:233,time:690053217,copy_size:2804136 
checkpoint:234,time:678914499,copy_size:2751234 
checkpoint:235,time:684891435,copy_size:2777360 
checkpoint:236,time:740337042,copy_size:3004382 
checkpoint:237,time:690543015,copy_size:2796394 
checkpoint:238,time:686707310,copy_size:2783856 
checkpoint:239,time:677277411,copy_size:2737086 
checkpoint:240,time:692112027,copy_size:2807100 
checkpoint:241,time:669270636,copy_size:2711702 
checkpoint:242,time:700741331,copy_size:2834184 
checkpoint:243,time:685256586,copy_size:2783766 
checkpoint:244,time:705692814,copy_size:2857386 
checkpoint:245,time:701545754,copy_size:2858124 
checkpoint:246,time:691581138,copy_size:2800830 
checkpoint:247,time:687610165,copy_size:2782992 
checkpoint:248,time:683186547,copy_size:2776936 
checkpoint:249,time:692501832,copy_size:2801298 
checkpoint:250,time:720228406,copy_size:2914576 
checkpoint:251,time:699532114,copy_size:2830840 
checkpoint:252,time:693467928,copy_size:2804470 
checkpoint:253,time:677115916,copy_size:2737210 
checkpoint:254,time:695874057,copy_size:2826158 
checkpoint:255,time:691181718,copy_size:2806560 
checkpoint:256,time:697316060,copy_size:2808094 
checkpoint:257,time:699123664,copy_size:2825546 
checkpoint:258,time:764576621,copy_size:3111422 
checkpoint:259,time:685074054,copy_size:2771448 
checkpoint:260,time:683424252,copy_size:2773214 
checkpoint:261,time:677494151,copy_size:2742702 
checkpoint:262,time:720699367,copy_size:2920824 
checkpoint:263,time:700337270,copy_size:2834802 
checkpoint:264,time:693205739,copy_size:2806276 
checkpoint:265,time:697262832,copy_size:2826638 
checkpoint:266,time:701267217,copy_size:2839960 
checkpoint:267,time:679910739,copy_size:2740372 
checkpoint:268,time:683947274,copy_size:2775576 
checkpoint:269,time:678422405,copy_size:2746236 
checkpoint:270,time:689171787,copy_size:2783248 
checkpoint:271,time:666165769,copy_size:2712722 
checkpoint:272,time:699682742,copy_size:2846370 
checkpoint:273,time:683364937,copy_size:2756994 
checkpoint:274,time:678619403,copy_size:2755680 
checkpoint:275,time:713602522,copy_size:2909258 
checkpoint:276,time:687661712,copy_size:2790150 
checkpoint:277,time:693373309,copy_size:2810798 
checkpoint:278,time:660070967,copy_size:2676636 
checkpoint:279,time:689868448,copy_size:2790636 
checkpoint:280,time:672764970,copy_size:2733162 
checkpoint:281,time:690063025,copy_size:2798230 
checkpoint:282,time:700535019,copy_size:2839066 
checkpoint:283,time:611184192,copy_size:2471642 
checkpoint:284,time:666714853,copy_size:2695376 
checkpoint:285,time:691430417,copy_size:2798392 
checkpoint:286,time:688888835,copy_size:2804598 
checkpoint:287,time:668081706,copy_size:2707216 
checkpoint:288,time:729937937,copy_size:2953136 
checkpoint:289,time:711495432,copy_size:2889532 
checkpoint:290,time:679572994,copy_size:2753222 
checkpoint:291,time:676645589,copy_size:2751972 
checkpoint:292,time:676242652,copy_size:2741226 
checkpoint:293,time:700291192,copy_size:2839576 
checkpoint:294,time:683528102,copy_size:2773018 
checkpoint:295,time:689063078,copy_size:2791950 
checkpoint:296,time:689289096,copy_size:2790266 
checkpoint:297,time:670491481,copy_size:2714906 
checkpoint:298,time:700956000,copy_size:2836564 
checkpoint:299,time:693470192,copy_size:2808450 
checkpoint:300,time:699574844,copy_size:2832966 
checkpoint:301,time:712932982,copy_size:2897152 
checkpoint:302,time:698996931,copy_size:2840250 
checkpoint:303,time:685305502,copy_size:2776118 
checkpoint:304,time:693474559,copy_size:2813986 
checkpoint:305,time:671280615,copy_size:2726888 
checkpoint:306,time:673571180,copy_size:2726080 
checkpoint:307,time:711166580,copy_size:2881828 
checkpoint:308,time:688299429,copy_size:2782776 
checkpoint:309,time:690376321,copy_size:2787352 
checkpoint:310,time:681586673,copy_size:2755436 
checkpoint:311,time:672853262,copy_size:2734392 
checkpoint:312,time:670638069,copy_size:2719062 
checkpoint:313,time:666287841,copy_size:2693652 
checkpoint:314,time:712169310,copy_size:2871534 
checkpoint:315,time:734184907,copy_size:2976326 
checkpoint:316,time:708288793,copy_size:2877550 
checkpoint:317,time:693061024,copy_size:2811572 
checkpoint:318,time:675128249,copy_size:2729054 
checkpoint:319,time:682555568,copy_size:2769762 
checkpoint:320,time:685655403,copy_size:2777902 
checkpoint:321,time:701347811,copy_size:2841128 
checkpoint:322,time:672445883,copy_size:2718524 
checkpoint:323,time:695805691,copy_size:2823448 
checkpoint:324,time:738433322,copy_size:2983378 
checkpoint:325,time:673865625,copy_size:2719794 
checkpoint:326,time:685183076,copy_size:2783934 
checkpoint:327,time:665586877,copy_size:2689860 
checkpoint:328,time:705298367,copy_size:2854390 
checkpoint:329,time:722910129,copy_size:2937702 
checkpoint:330,time:698524381,copy_size:2839924 
checkpoint:331,time:677079850,copy_size:2737894 
checkpoint:332,time:677994814,copy_size:2755770 
checkpoint:333,time:697303069,copy_size:2840290 
checkpoint:334,time:697652112,copy_size:2830188 
checkpoint:335,time:676527589,copy_size:2743216 
checkpoint:336,time:692037832,copy_size:2797844 
checkpoint:337,time:677986442,copy_size:2753056 
checkpoint:338,time:677923931,copy_size:2747496 
checkpoint:339,time:693841357,copy_size:2816866 
checkpoint:340,time:703313421,copy_size:2848568 
checkpoint:341,time:762286085,copy_size:3080598 
checkpoint:342,time:679419553,copy_size:2746420 
checkpoint:343,time:706150322,copy_size:2870184 
checkpoint:344,time:728238766,copy_size:2949404 
checkpoint:345,time:668024439,copy_size:2711724 
checkpoint:346,time:693423415,copy_size:2800814 
checkpoint:347,time:677012636,copy_size:2751480 
checkpoint:348,time:687687970,copy_size:2805406 
checkpoint:349,time:692720340,copy_size:2801246 
checkpoint:350,time:696438207,copy_size:2828834 
checkpoint:351,time:699744111,copy_size:2833580 
checkpoint:352,time:702386249,copy_size:2847252 
checkpoint:353,time:747130988,copy_size:3018250 
checkpoint:354,time:666186952,copy_size:2701938 
checkpoint:355,time:752136793,copy_size:3048954 
checkpoint:356,time:718805589,copy_size:2910198 
checkpoint:357,time:686867147,copy_size:2784732 
checkpoint:358,time:694531048,copy_size:2815922 
checkpoint:359,time:668993016,copy_size:2717740 
checkpoint:360,time:681885330,copy_size:2764100 
checkpoint:361,time:763948823,copy_size:3098538 
checkpoint:362,time:686652294,copy_size:2791988 
checkpoint:363,time:689938060,copy_size:2793806 
checkpoint:364,time:679686381,copy_size:2753410 
checkpoint:365,time:688532099,copy_size:2772290 
checkpoint:366,time:691911907,copy_size:2805996 
checkpoint:367,time:680822594,copy_size:2752972 
checkpoint:368,time:690545889,copy_size:2798364 
checkpoint:369,time:717153493,copy_size:2916826 
checkpoint:370,time:697779153,copy_size:2815294 
checkpoint:371,time:689865537,copy_size:2781426 
checkpoint:372,time:676513886,copy_size:2746802 
checkpoint:373,time:714619958,copy_size:2899276 
checkpoint:374,time:621830202,copy_size:2527548 
checkpoint:375,time:681423661,copy_size:2754146 
checkpoint:376,time:673427913,copy_size:2725124 
checkpoint:377,time:694228058,copy_size:2820814 
checkpoint:378,time:702386054,copy_size:2841152 
checkpoint:379,time:679363234,copy_size:2747610 
checkpoint:380,time:670713387,copy_size:2722578 
checkpoint:381,time:678913645,copy_size:2744390 
checkpoint:382,time:679014673,copy_size:2744678 
checkpoint:383,time:715793046,copy_size:2900672 
checkpoint:384,time:704482258,copy_size:2850204 
checkpoint:385,time:691963249,copy_size:2800830 
checkpoint:386,time:696487168,copy_size:2828458 
checkpoint:387,time:697610664,copy_size:2835892 
checkpoint:388,time:700769561,copy_size:2833342 
checkpoint:389,time:662127610,copy_size:2689626 
checkpoint:390,time:671081337,copy_size:2736776 
checkpoint:391,time:689083277,copy_size:2799638 
checkpoint:392,time:686066286,copy_size:2775804 
checkpoint:393,time:685928205,copy_size:2780436 
checkpoint:394,time:696674586,copy_size:2819674 
checkpoint:395,time:697398076,copy_size:2830570 
checkpoint:396,time:689584106,copy_size:2795878 
checkpoint:397,time:693195652,copy_size:2807666 
checkpoint:398,time:681732817,copy_size:2760706 
checkpoint:399,time:686169148,copy_size:2774214 
checkpoint:400,time:680378141,copy_size:2751878 
checkpoint:401,time:687475937,copy_size:2791202 
checkpoint:402,time:685414250,copy_size:2788594 
checkpoint:403,time:691013415,copy_size:2790764 
checkpoint:404,time:679530445,copy_size:2756414 
checkpoint:405,time:701295529,copy_size:2849568 
checkpoint:406,time:677517751,copy_size:2754098 
checkpoint:407,time:682424048,copy_size:2759992 
checkpoint:408,time:200393636,copy_size:827378 
Cleaned up init process
GemOS shell again!
GemOS# Shutting down...
Connection closed by foreign host.
