spawn telnet localhost 3458
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11C258 EBP=0x11C2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1,time_prosper:1909005,size_prosper:6304,time_ssp:1617381,time_merge:5751324,size_ssp:0
checkpoint:43,time_prosper:1777310,size_prosper:7152,time_ssp:829404,time_merge:0,size_ssp:0
checkpoint:44,time_prosper:4820733,size_prosper:18616,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:45,time_prosper:483477,size_prosper:1672,time_ssp:809735,time_merge:0,size_ssp:0
checkpoint:46,time_prosper:2025418,size_prosper:7472,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:47,time_prosper:5581109,size_prosper:20328,time_ssp:782434,time_merge:699852,size_ssp:0
checkpoint:48,time_prosper:4688024,size_prosper:19152,time_ssp:820984,time_merge:0,size_ssp:0
checkpoint:49,time_prosper:1545676,size_prosper:6264,time_ssp:812179,time_merge:0,size_ssp:0
checkpoint:50,time_prosper:3564574,size_prosper:13960,time_ssp:806198,time_merge:0,size_ssp:0
checkpoint:51,time_prosper:1636814,size_prosper:6608,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:52,time_prosper:519857,size_prosper:1808,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:53,time_prosper:3492322,size_prosper:12944,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:54,time_prosper:709995,size_prosper:2752,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:55,time_prosper:5570610,size_prosper:20304,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:56,time_prosper:226424,size_prosper:584,time_ssp:822059,time_merge:0,size_ssp:0
checkpoint:57,time_prosper:4054424,size_prosper:15184,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:58,time_prosper:1470664,size_prosper:5808,time_ssp:806224,time_merge:0,size_ssp:0
checkpoint:59,time_prosper:732964,size_prosper:2712,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:60,time_prosper:1657198,size_prosper:6432,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:61,time_prosper:2406442,size_prosper:9160,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:62,time_prosper:3414469,size_prosper:13184,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:63,time_prosper:2116223,size_prosper:8592,time_ssp:806924,time_merge:0,size_ssp:0
checkpoint:64,time_prosper:3632541,size_prosper:14344,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:65,time_prosper:1822346,size_prosper:7408,time_ssp:806224,time_merge:0,size_ssp:0
checkpoint:66,time_prosper:3158541,size_prosper:12632,time_ssp:806198,time_merge:0,size_ssp:0
checkpoint:67,time_prosper:3893649,size_prosper:15512,time_ssp:807248,time_merge:0,size_ssp:0
checkpoint:68,time_prosper:3287108,size_prosper:12864,time_ssp:809927,time_merge:0,size_ssp:0
checkpoint:69,time_prosper:4047748,size_prosper:16176,time_ssp:775843,time_merge:699857,size_ssp:0
checkpoint:70,time_prosper:2084526,size_prosper:8408,time_ssp:812026,time_merge:0,size_ssp:0
checkpoint:71,time_prosper:5780952,size_prosper:21432,time_ssp:806228,time_merge:0,size_ssp:0
checkpoint:72,time_prosper:1884890,size_prosper:7736,time_ssp:824900,time_merge:0,size_ssp:0
checkpoint:73,time_prosper:3826847,size_prosper:15016,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:74,time_prosper:5257589,size_prosper:20304,time_ssp:810795,time_merge:0,size_ssp:0
checkpoint:75,time_prosper:1725493,size_prosper:7016,time_ssp:807287,time_merge:0,size_ssp:0
checkpoint:76,time_prosper:3722481,size_prosper:14904,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:77,time_prosper:3045060,size_prosper:12304,time_ssp:806900,time_merge:0,size_ssp:0
checkpoint:78,time_prosper:1799105,size_prosper:7280,time_ssp:806927,time_merge:0,size_ssp:0
checkpoint:79,time_prosper:4389502,size_prosper:16632,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:80,time_prosper:5361175,size_prosper:20896,time_ssp:812071,time_merge:0,size_ssp:0
checkpoint:81,time_prosper:2487931,size_prosper:10224,time_ssp:814639,time_merge:0,size_ssp:0
checkpoint:82,time_prosper:1617490,size_prosper:6504,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:83,time_prosper:2197048,size_prosper:8616,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:84,time_prosper:576646,size_prosper:1944,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:85,time_prosper:5344150,size_prosper:18840,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:86,time_prosper:2865994,size_prosper:11528,time_ssp:822543,time_merge:0,size_ssp:0
checkpoint:87,time_prosper:3180736,size_prosper:12768,time_ssp:807621,time_merge:0,size_ssp:0
checkpoint:88,time_prosper:2380862,size_prosper:9744,time_ssp:806921,time_merge:0,size_ssp:0
checkpoint:89,time_prosper:3739698,size_prosper:14264,time_ssp:806200,time_merge:0,size_ssp:0
checkpoint:90,time_prosper:3967547,size_prosper:15992,time_ssp:810279,time_merge:0,size_ssp:0
checkpoint:91,time_prosper:2328514,size_prosper:9584,time_ssp:769741,time_merge:699837,size_ssp:0
checkpoint:92,time_prosper:2470952,size_prosper:9952,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:93,time_prosper:1635970,size_prosper:6640,time_ssp:806891,time_merge:0,size_ssp:0
checkpoint:94,time_prosper:1801316,size_prosper:7320,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:95,time_prosper:2009178,size_prosper:8160,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:96,time_prosper:4177589,size_prosper:15488,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:97,time_prosper:1554628,size_prosper:6296,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:98,time_prosper:1676001,size_prosper:6720,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:99,time_prosper:4225574,size_prosper:15920,time_ssp:806224,time_merge:0,size_ssp:0
checkpoint:100,time_prosper:1708598,size_prosper:6832,time_ssp:807621,time_merge:0,size_ssp:0
checkpoint:101,time_prosper:2432961,size_prosper:9784,time_ssp:806200,time_merge:0,size_ssp:0
checkpoint:102,time_prosper:3682601,size_prosper:14432,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:103,time_prosper:4984478,size_prosper:18688,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:104,time_prosper:2670712,size_prosper:10752,time_ssp:809726,time_merge:0,size_ssp:0
checkpoint:105,time_prosper:2164457,size_prosper:8808,time_ssp:806900,time_merge:0,size_ssp:0
checkpoint:106,time_prosper:2182898,size_prosper:8856,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:107,time_prosper:2012009,size_prosper:8272,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:108,time_prosper:3807078,size_prosper:14456,time_ssp:806224,time_merge:0,size_ssp:0
checkpoint:109,time_prosper:1768893,size_prosper:7256,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:110,time_prosper:2029103,size_prosper:8336,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:111,time_prosper:3372970,size_prosper:13136,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:112,time_prosper:1802364,size_prosper:7352,time_ssp:806224,time_merge:0,size_ssp:0
checkpoint:113,time_prosper:1913481,size_prosper:7864,time_ssp:763885,time_merge:699864,size_ssp:0
checkpoint:114,time_prosper:1495180,size_prosper:5992,time_ssp:806198,time_merge:0,size_ssp:0
checkpoint:115,time_prosper:4668475,size_prosper:16592,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:116,time_prosper:2262721,size_prosper:9440,time_ssp:811672,time_merge:0,size_ssp:0
checkpoint:117,time_prosper:1953940,size_prosper:8040,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:118,time_prosper:123457,size_prosper:136,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:119,time_prosper:4399096,size_prosper:15496,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:120,time_prosper:3594070,size_prosper:14592,time_ssp:809032,time_merge:0,size_ssp:0
checkpoint:121,time_prosper:2342048,size_prosper:9704,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:122,time_prosper:1625376,size_prosper:6608,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:123,time_prosper:4084766,size_prosper:15808,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:124,time_prosper:628520,size_prosper:2296,time_ssp:806921,time_merge:0,size_ssp:0
checkpoint:125,time_prosper:2905169,size_prosper:11008,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:126,time_prosper:3804505,size_prosper:14632,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:127,time_prosper:3849505,size_prosper:15656,time_ssp:807261,time_merge:0,size_ssp:0
checkpoint:128,time_prosper:5108153,size_prosper:19816,time_ssp:806924,time_merge:0,size_ssp:0
checkpoint:129,time_prosper:653943,size_prosper:2320,time_ssp:822780,time_merge:0,size_ssp:0
checkpoint:130,time_prosper:2957181,size_prosper:10880,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:131,time_prosper:4762099,size_prosper:17952,time_ssp:806198,time_merge:0,size_ssp:0
checkpoint:132,time_prosper:2146102,size_prosper:8816,time_ssp:816405,time_merge:0,size_ssp:0
checkpoint:133,time_prosper:3165429,size_prosper:12832,time_ssp:806198,time_merge:0,size_ssp:0
checkpoint:134,time_prosper:4149445,size_prosper:15840,time_ssp:806894,time_merge:0,size_ssp:0
checkpoint:135,time_prosper:3878546,size_prosper:16008,time_ssp:756796,time_merge:699855,size_ssp:0
checkpoint:136,time_prosper:2103262,size_prosper:8528,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:137,time_prosper:2852589,size_prosper:11440,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:138,time_prosper:2067418,size_prosper:8400,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:139,time_prosper:1870475,size_prosper:7656,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:140,time_prosper:1937667,size_prosper:7920,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:141,time_prosper:1968986,size_prosper:8136,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:142,time_prosper:4222256,size_prosper:15336,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:143,time_prosper:6111850,size_prosper:22880,time_ssp:810426,time_merge:0,size_ssp:0
checkpoint:144,time_prosper:4302307,size_prosper:17496,time_ssp:823572,time_merge:0,size_ssp:0
checkpoint:145,time_prosper:2843661,size_prosper:11504,time_ssp:809381,time_merge:0,size_ssp:0
checkpoint:146,time_prosper:3878151,size_prosper:15616,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:147,time_prosper:4540051,size_prosper:17360,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:148,time_prosper:4235004,size_prosper:17040,time_ssp:813261,time_merge:0,size_ssp:0
checkpoint:149,time_prosper:4253721,size_prosper:17080,time_ssp:823080,time_merge:0,size_ssp:0
checkpoint:150,time_prosper:6129543,size_prosper:23456,time_ssp:815207,time_merge:0,size_ssp:0
checkpoint:151,time_prosper:2721949,size_prosper:11008,time_ssp:835612,time_merge:0,size_ssp:0
checkpoint:152,time_prosper:3926688,size_prosper:15440,time_ssp:806897,time_merge:0,size_ssp:0
checkpoint:153,time_prosper:4677661,size_prosper:18304,time_ssp:811852,time_merge:0,size_ssp:0
checkpoint:154,time_prosper:1806313,size_prosper:7280,time_ssp:824621,time_merge:0,size_ssp:0
checkpoint:155,time_prosper:5832019,size_prosper:21592,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:156,time_prosper:1931914,size_prosper:7832,time_ssp:825462,time_merge:0,size_ssp:0
checkpoint:157,time_prosper:3109643,size_prosper:12432,time_ssp:755296,time_merge:699864,size_ssp:0
checkpoint:158,time_prosper:731565,size_prosper:2584,time_ssp:806224,time_merge:0,size_ssp:0
checkpoint:159,time_prosper:5108196,size_prosper:18760,time_ssp:806227,time_merge:0,size_ssp:0
checkpoint:160,time_prosper:5609640,size_prosper:21680,time_ssp:827495,time_merge:0,size_ssp:0
checkpoint:161,time_prosper:435316,size_prosper:1480,time_ssp:824539,time_merge:0,size_ssp:0
checkpoint:162,time_prosper:4383391,size_prosper:16168,time_ssp:806224,time_merge:0,size_ssp:0
checkpoint:163,time_prosper:226908,size_prosper:568,time_ssp:811146,time_merge:0,size_ssp:0
checkpoint:164,time_prosper:4149324,size_prosper:15768,time_ssp:806198,time_merge:0,size_ssp:0
checkpoint:165,time_prosper:570472,size_prosper:2152,time_ssp:818059,time_merge:0,size_ssp:0
checkpoint:166,time_prosper:3335700,size_prosper:12664,time_ssp:806224,time_merge:0,size_ssp:0
checkpoint:167,time_prosper:4163238,size_prosper:16216,time_ssp:807621,time_merge:0,size_ssp:0
checkpoint:168,time_prosper:3203042,size_prosper:13032,time_ssp:806921,time_merge:0,size_ssp:0
checkpoint:169,time_prosper:3042195,size_prosper:12336,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:170,time_prosper:5381202,size_prosper:20376,time_ssp:806921,time_merge:0,size_ssp:0
checkpoint:171,time_prosper:413601,size_prosper:1336,time_ssp:815726,time_merge:0,size_ssp:0
checkpoint:172,time_prosper:3999901,size_prosper:14648,time_ssp:806224,time_merge:0,size_ssp:0
checkpoint:173,time_prosper:3580024,size_prosper:14584,time_ssp:808678,time_merge:0,size_ssp:0
checkpoint:174,time_prosper:2743484,size_prosper:11168,time_ssp:806927,time_merge:0,size_ssp:0
checkpoint:175,time_prosper:3893457,size_prosper:15672,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:176,time_prosper:6109739,size_prosper:23088,time_ssp:807624,time_merge:0,size_ssp:0
checkpoint:177,time_prosper:423256,size_prosper:1352,time_ssp:837846,time_merge:0,size_ssp:0
checkpoint:178,time_prosper:4199793,size_prosper:15344,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:179,time_prosper:1989039,size_prosper:8064,time_ssp:751588,time_merge:699873,size_ssp:0
checkpoint:180,time_prosper:1804361,size_prosper:7312,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:181,time_prosper:3823220,size_prosper:14712,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:182,time_prosper:844084,size_prosper:3136,time_ssp:807627,time_merge:0,size_ssp:0
checkpoint:183,time_prosper:4623444,size_prosper:16776,time_ssp:806198,time_merge:0,size_ssp:0
checkpoint:184,time_prosper:1964937,size_prosper:7912,time_ssp:838149,time_merge:0,size_ssp:0
checkpoint:185,time_prosper:3627496,size_prosper:13776,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:186,time_prosper:5108003,size_prosper:19632,time_ssp:813606,time_merge:0,size_ssp:0
checkpoint:187,time_prosper:642430,size_prosper:2304,time_ssp:818765,time_merge:0,size_ssp:0
checkpoint:188,time_prosper:5979307,size_prosper:21944,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:189,time_prosper:1685262,size_prosper:6824,time_ssp:831599,time_merge:0,size_ssp:0
checkpoint:190,time_prosper:3877502,size_prosper:14880,time_ssp:806224,time_merge:0,size_ssp:0
checkpoint:191,time_prosper:1787304,size_prosper:7208,time_ssp:808296,time_merge:0,size_ssp:0
checkpoint:192,time_prosper:3310103,size_prosper:13248,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:193,time_prosper:3237304,size_prosper:13256,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:194,time_prosper:2080733,size_prosper:8600,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:195,time_prosper:3448127,size_prosper:13920,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:196,time_prosper:2706115,size_prosper:10944,time_ssp:806200,time_merge:0,size_ssp:0
checkpoint:197,time_prosper:1444697,size_prosper:5712,time_ssp:807248,time_merge:0,size_ssp:0
checkpoint:198,time_prosper:436908,size_prosper:1488,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:199,time_prosper:5823096,size_prosper:20536,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:200,time_prosper:1996919,size_prosper:8264,time_ssp:820897,time_merge:0,size_ssp:0
checkpoint:201,time_prosper:3856447,size_prosper:15128,time_ssp:749781,time_merge:699864,size_ssp:0
checkpoint:202,time_prosper:4722010,size_prosper:18264,time_ssp:807602,time_merge:0,size_ssp:0
checkpoint:203,time_prosper:5404757,size_prosper:20920,time_ssp:809371,time_merge:0,size_ssp:0
checkpoint:204,time_prosper:2192045,size_prosper:8848,time_ssp:816396,time_merge:0,size_ssp:0
checkpoint:205,time_prosper:2997399,size_prosper:12096,time_ssp:806198,time_merge:0,size_ssp:0
checkpoint:206,time_prosper:2568823,size_prosper:10240,time_ssp:806921,time_merge:0,size_ssp:0
checkpoint:207,time_prosper:4022406,size_prosper:15848,time_ssp:806924,time_merge:0,size_ssp:0
checkpoint:208,time_prosper:2619505,size_prosper:10688,time_ssp:808326,time_merge:0,size_ssp:0
checkpoint:209,time_prosper:4078289,size_prosper:15720,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:210,time_prosper:2239093,size_prosper:9056,time_ssp:808318,time_merge:0,size_ssp:0
checkpoint:211,time_prosper:1699382,size_prosper:6912,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:212,time_prosper:5128322,size_prosper:18896,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:213,time_prosper:1975562,size_prosper:8088,time_ssp:820236,time_merge:0,size_ssp:0
checkpoint:214,time_prosper:469841,size_prosper:1608,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:215,time_prosper:2045247,size_prosper:8064,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:216,time_prosper:3517156,size_prosper:13296,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:217,time_prosper:1654319,size_prosper:6680,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:218,time_prosper:1936964,size_prosper:7976,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:219,time_prosper:2772115,size_prosper:10768,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:220,time_prosper:2101679,size_prosper:8600,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:221,time_prosper:4011210,size_prosper:15392,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:222,time_prosper:3648030,size_prosper:15040,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:223,time_prosper:1643038,size_prosper:6696,time_ssp:749496,time_merge:699875,size_ssp:0
checkpoint:224,time_prosper:4474814,size_prosper:16944,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:225,time_prosper:3924322,size_prosper:16120,time_ssp:822428,time_merge:0,size_ssp:0
checkpoint:226,time_prosper:3144580,size_prosper:12960,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:227,time_prosper:3917060,size_prosper:15976,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:228,time_prosper:2822340,size_prosper:11488,time_ssp:807273,time_merge:0,size_ssp:0
checkpoint:229,time_prosper:3493457,size_prosper:13680,time_ssp:806897,time_merge:0,size_ssp:0
checkpoint:230,time_prosper:2216892,size_prosper:9064,time_ssp:809723,time_merge:0,size_ssp:0
checkpoint:231,time_prosper:4317845,size_prosper:16824,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:232,time_prosper:3565703,size_prosper:14600,time_ssp:807597,time_merge:0,size_ssp:0
checkpoint:233,time_prosper:660646,size_prosper:2368,time_ssp:807287,time_merge:0,size_ssp:0
checkpoint:234,time_prosper:6417865,size_prosper:23064,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:235,time_prosper:3205490,size_prosper:12896,time_ssp:819188,time_merge:0,size_ssp:0
checkpoint:236,time_prosper:4110832,size_prosper:16688,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:237,time_prosper:119625,size_prosper:120,time_ssp:809735,time_merge:0,size_ssp:0
checkpoint:238,time_prosper:1892634,size_prosper:6984,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:239,time_prosper:3924502,size_prosper:14936,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:240,time_prosper:6334844,size_prosper:23584,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:241,time_prosper:3050214,size_prosper:12536,time_ssp:812197,time_merge:0,size_ssp:0
checkpoint:242,time_prosper:3139105,size_prosper:12848,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:243,time_prosper:5181836,size_prosper:19088,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:244,time_prosper:4193793,size_prosper:17112,time_ssp:822104,time_merge:0,size_ssp:0
checkpoint:245,time_prosper:659528,size_prosper:2360,time_ssp:749838,time_merge:700915,size_ssp:0
checkpoint:246,time_prosper:1468985,size_prosper:5376,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:247,time_prosper:3337649,size_prosper:12480,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:248,time_prosper:6340916,size_prosper:23032,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:249,time_prosper:1790331,size_prosper:7304,time_ssp:820284,time_merge:0,size_ssp:0
checkpoint:250,time_prosper:1684030,size_prosper:6856,time_ssp:806198,time_merge:0,size_ssp:0
checkpoint:251,time_prosper:1709034,size_prosper:6920,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:252,time_prosper:4291183,size_prosper:15848,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:253,time_prosper:1697397,size_prosper:6920,time_ssp:811317,time_merge:0,size_ssp:0
checkpoint:254,time_prosper:661270,size_prosper:2360,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:255,time_prosper:1895670,size_prosper:7528,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:256,time_prosper:3265043,size_prosper:12160,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:257,time_prosper:3432322,size_prosper:13224,time_ssp:806221,time_merge:0,size_ssp:0
