spawn telnet localhost 3456
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
log write not done in :10
checkpoint:1, time:2061539, size:11552 
checkpoint:181, time:2592328, size:18256 
checkpoint:182, time:1670399, size:12592 
checkpoint:183, time:957599, size:7120 
checkpoint:184, time:1611722, size:12120 
checkpoint:185, time:1434497, size:10576 
checkpoint:186, time:2226108, size:15864 
checkpoint:187, time:915937, size:6672 
checkpoint:188, time:2482948, size:17936 
checkpoint:189, time:2768643, size:20624 
checkpoint:190, time:111526, size:120 
checkpoint:191, time:1009470, size:6952 
checkpoint:192, time:1028352, size:7568 
checkpoint:193, time:3242936, size:20432 
checkpoint:194, time:2014329, size:15504 
checkpoint:195, time:1436455, size:10816 
checkpoint:196, time:2262031, size:16768 
checkpoint:197, time:999668, size:7536 
checkpoint:198, time:2732906, size:18968 
checkpoint:199, time:1233145, size:9016 
checkpoint:200, time:113312, size:136 
checkpoint:201, time:348145, size:1912 
checkpoint:202, time:321164, size:1776 
checkpoint:203, time:3472561, size:20552 
checkpoint:204, time:2030497, size:15712 
checkpoint:205, time:1465160, size:10816 
checkpoint:206, time:233675, size:1096 
checkpoint:207, time:2587907, size:17432 
checkpoint:208, time:1833028, size:13984 
checkpoint:209, time:1904823, size:14632 
checkpoint:210, time:2546697, size:18280 
checkpoint:211, time:1065490, size:7920 
checkpoint:212, time:2443298, size:18576 
checkpoint:213, time:1666031, size:12584 
checkpoint:214, time:1716287, size:12984 
checkpoint:215, time:355018, size:2024 
checkpoint:216, time:397639, size:2384 
checkpoint:217, time:3075427, size:19344 
checkpoint:218, time:2373832, size:18040 
checkpoint:219, time:2603132, size:19760 
checkpoint:220, time:1807776, size:13528 
checkpoint:221, time:1037733, size:7768 
checkpoint:222, time:1175274, size:9072 
checkpoint:223, time:1116180, size:8528 
checkpoint:224, time:1008828, size:7480 
checkpoint:225, time:2271584, size:15432 
checkpoint:226, time:1398720, size:10328 
checkpoint:227, time:1046414, size:7536 
checkpoint:228, time:2394092, size:17008 
checkpoint:229, time:1246428, size:9032 
checkpoint:230, time:1011839, size:7496 
checkpoint:231, time:415700, size:2456 
checkpoint:232, time:998345, size:7480 
checkpoint:233, time:252546, size:1272 
checkpoint:234, time:2747648, size:17584 
checkpoint:235, time:1816316, size:13848 
checkpoint:236, time:1665229, size:12544 
checkpoint:237, time:2933718, size:20800 
checkpoint:238, time:1147332, size:8720 
checkpoint:239, time:804318, size:5776 
checkpoint:240, time:1026959, size:7728 
checkpoint:241, time:1805847, size:12256 
checkpoint:242, time:371046, size:2128 
checkpoint:243, time:3006275, size:20104 
checkpoint:244, time:2130161, size:16040 
checkpoint:245, time:1683773, size:12728 
checkpoint:246, time:2014808, size:15488 
checkpoint:247, time:2272145, size:16904 
checkpoint:248, time:766785, size:5408 
checkpoint:249, time:1179257, size:8984 
checkpoint:250, time:908995, size:6648 
checkpoint:251, time:2519132, size:16344 
checkpoint:252, time:1708996, size:12832 
checkpoint:253, time:1163179, size:8824 
checkpoint:254, time:2446171, size:17296 
checkpoint:255, time:528178, size:3360 
checkpoint:256, time:1097441, size:8144 
checkpoint:257, time:2274732, size:15768 
checkpoint:258, time:1967938, size:14688 
checkpoint:259, time:1839371, size:13552 
checkpoint:260, time:2488186, size:17832 
checkpoint:261, time:2799904, size:20304 
checkpoint:262, time:2664849, size:19840 
checkpoint:263, time:2582524, size:19824 
checkpoint:264, time:1993294, size:14760 
checkpoint:265, time:2484614, size:18728 
checkpoint:266, time:1179135, size:9040 
checkpoint:267, time:1091527, size:8152 
checkpoint:268, time:2435203, size:16264 
checkpoint:269, time:1037111, size:7768 
checkpoint:270, time:112564, size:128 
checkpoint:271, time:2240690, size:15736 
checkpoint:272, time:2276441, size:16760 
checkpoint:273, time:2695011, size:19120 
checkpoint:274, time:1864923, size:14400 
checkpoint:275, time:1640122, size:12384 
checkpoint:276, time:969055, size:7144 
checkpoint:277, time:3568691, size:23344 
checkpoint:278, time:2741125, size:21024 
checkpoint:279, time:1854961, size:14152 
checkpoint:280, time:1574646, size:11400 
checkpoint:281, time:1110192, size:8488 
checkpoint:282, time:3140321, size:20416 
checkpoint:283, time:649780, size:4336 
checkpoint:284, time:1280809, size:9648 
checkpoint:285, time:2293566, size:15152 
checkpoint:286, time:1014939, size:7728 
checkpoint:287, time:2090589, size:15776 
checkpoint:288, time:978625, size:7152 
checkpoint:289, time:2296224, size:16600 
checkpoint:290, time:1008705, size:7632 
checkpoint:291, time:345110, size:1968 
checkpoint:292, time:918008, size:6672 
checkpoint:293, time:362855, size:1952 
checkpoint:294, time:1003643, size:7320 
checkpoint:295, time:2132554, size:13840 
checkpoint:296, time:1017473, size:7528 
checkpoint:297, time:2896514, size:19560 
checkpoint:298, time:1420768, size:10768 
checkpoint:299, time:913768, size:6688 
checkpoint:300, time:1884865, size:13560 
checkpoint:301, time:1709879, size:13088 
checkpoint:302, time:2095657, size:15536 
checkpoint:303, time:1828744, size:14128 
checkpoint:304, time:2354606, size:17128 
checkpoint:305, time:1113098, size:8376 
checkpoint:306, time:1745866, size:13264 
checkpoint:307, time:967691, size:7232 
checkpoint:308, time:1019377, size:7680 
checkpoint:309, time:2834240, size:17960 
checkpoint:310, time:1113116, size:8424 
checkpoint:311, time:2368647, size:18024 
checkpoint:312, time:291294, size:1536 
checkpoint:313, time:1934191, size:14536 
checkpoint:314, time:2801896, size:20152 
checkpoint:315, time:214271, size:792 
checkpoint:316, time:2513651, size:18904 
checkpoint:317, time:2539794, size:19512 
checkpoint:318, time:2251902, size:16552 
checkpoint:319, time:2185818, size:16496 
checkpoint:320, time:395243, size:2256 
checkpoint:321, time:2304994, size:17024 
checkpoint:322, time:1173624, size:9056 
checkpoint:323, time:1353544, size:10264 
checkpoint:324, time:1363945, size:10080 
checkpoint:325, time:3523075, size:22336 
checkpoint:326, time:646835, size:4280 
checkpoint:327, time:1960399, size:14920 
checkpoint:328, time:1777738, size:13336 
checkpoint:329, time:925971, size:6920 
checkpoint:330, time:907148, size:6600 
checkpoint:331, time:1988227, size:13992 
checkpoint:332, time:1033187, size:7752 
checkpoint:333, time:2882369, size:20080 
checkpoint:334, time:1645149, size:12448 
checkpoint:335, time:1446642, size:10768 
checkpoint:336, time:2030702, size:14960 
checkpoint:337, time:1061555, size:7936 
checkpoint:338, time:1066430, size:8128 
checkpoint:339, time:314508, size:1720 
checkpoint:340, time:1445803, size:9840 
checkpoint:341, time:1146288, size:8712 
checkpoint:342, time:3101929, size:20464 
checkpoint:343, time:904965, size:6608 
checkpoint:344, time:2417911, size:17576 
checkpoint:345, time:1309007, size:9568 
checkpoint:346, time:267363, size:1368 
checkpoint:347, time:2769943, size:18560 
checkpoint:348, time:2736714, size:20592 
checkpoint:349, time:964661, size:7064 
checkpoint:350, time:1945783, size:14520 
checkpoint:351, time:1057987, size:7880 
checkpoint:352, time:2088690, size:15344 
checkpoint:353, time:3126139, size:21616 
checkpoint:354, time:2612632, size:20040 
checkpoint:355, time:111404, size:120 
checkpoint:356, time:1283910, size:8856 
checkpoint:357, time:308327, size:1672 
checkpoint:358, time:831558, size:5856 
checkpoint:359, time:2190640, size:14976 
checkpoint:360, time:111743, size:128 
Cleaned up init process
GemOS shell again!
GemOS# Shutting down...
Connection closed by foreign host.
